atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,lat,lng,atclFetrDesc,tagList,bildNm,town
2438310000,인왕산현대아이파크,아파트,매매,17/17,140000,0,14억,111,84.85,남서향,24.08.05.,37.576657,126.957923,역세권 공원 전망굿.깨끗함.층간소음없음 ,"['25년이내', '역세권', '탑층']",113동,종로구 무악동
2438619952,빌라,빌라,매매,중/4,51000,0,"5억 1,000",75,59.66,남동향,24.08.06.,37.576892,126.962365,엘베有.주차가능.전체올수리.숲뷰,"['25년이내', '올수리', '방세개']",,종로구 무악동
2438259909,인왕산현대아이파크,아파트,매매,3/15,129000,0,"12억 9,000",109,84.85,남동향,24.08.05.,37.576659,126.959179,"특올수리,광화문 생활권,직주근접 단지,독립문초품아 단지.전세안고 매매","['25년이내', '올수리', '역세권', '방세개']",111동,종로구 무악동
2438043702,인왕산현대아이파크,아파트,전세,11/14,78000,0,"7억 8,000",109,84.85,남동향,24.08.03.,37.576985,126.959424,인왕산전망굿 거실 방 확장형,"['25년이내', '방세개', '화장실두개']",108동,종로구 무악동
2437974715,인왕산현대아이파크,아파트,매매,2/17,155000,0,"15억 5,000",145,114.93,남향,24.08.02.,37.576456,126.958661,"입주협의. 로얄동, 거실 정원 조망권","['25년이내', '마당', '역세권']",114동,종로구 무악동
2437957883,인왕산현대아이파크,아파트,전세,2/17,78000,0,"7억 8,000",111,84.85,남서향,24.08.02.,37.57684,126.957297,"로얄동으로써 즉시입주가능하며,입구동이라 생활편리합니다","['25년이내', '융자금없는', '역세권', '방세개']",112동,종로구 무악동
2439013261,무악현대,아파트,매매,고/20,133000,0,"13억 3,000",109,84.92,남동향,24.08.08.,37.574955,126.961161,로얄동 로얄등 샤시포함 수리된집  ,"['25년이내', '역세권', '방세개', '화장실두개']",108동,종로구 무악동
2439004015,경희궁롯데캐슬,아파트,매매,저/16,170000,0,17억,114,84.87,남서향,24.08.08.,37.573888,126.959085,주인거주 입구가능함 초역세권 지하철 1분거리 초품아  독립문공원전망굿,"['10년이내', '역세권', '방세개', '화장실두개']",103동,종로구 무악동
2439002272,인왕산2차아이파크,아파트,매매,중/15,120000,0,12억,108,84.02,남동향,24.08.08.,37.575619,126.959862,거실 방1개 확장형역세권 초등학교가까움 공기좋고 조용한동입니다,"['10년이내', '역세권', '방한개', '화장실두개']",202동,종로구 무악동
2438924445,인왕산2차아이파크,아파트,매매,고/17,157000,0,"15억 7,000",144,112.53,남동향,24.08.08.,37.575509,126.959648,"주인직접.확장형,에어컨2대, 입주가능","['10년이내', '역세권', '대형평수', '방네개이상']",203동,종로구 무악동
2438892225,인왕산현대아이파크,아파트,매매,중/17,136000,0,"13억 6,000",111,84.85,남서향,24.08.08.,37.57684,126.957297,로얄입구동 초역세권 주인거주로 깨끗함,"['25년이내', '역세권', '방세개']",112동,종로구 무악동
2437988266,인왕산현대아이파크,아파트,매매,4/16,144000,0,"14억 4,000",145,114.93,남서향,24.08.02.,37.577108,126.958086,"급매,베란다 확장된 아주 넓고 조경뷰가 예쁜집","['25년이내', '역세권', '확장형', '급매']",106동,종로구 무악동
2438698256,경희궁롯데캐슬,아파트,매매,중/16,175000,0,"17억 5,000",114,84.87,남서향,24.08.07.,37.573888,126.959085,"34입주가능, 최고옵션, 독립문공원뷰","['10년이내', '역세권', '방세개']",103동,종로구 무악동
2438690992,인왕산현대아이파크,아파트,매매,저/17,135000,0,"13억 5,000",111,84.85,남서향,24.08.07.,37.57684,126.957297,주인걱주 확장형 로얄입구동 초역세권,"['25년이내', '역세권', '방세개']",112동,종로구 무악동
2438829178,무악현대,아파트,매매,저/17,138000,0,"13억 8,000",141,114.9,남동향,24.08.07.,37.575979,126.96083,,"['25년이내', '대형평수', '방네개이상', '화장실두개']",104동,종로구 무악동
2438818111,경희궁롯데캐슬,아파트,매매,저/15,140000,0,14억,82,59.67,남서향,24.08.07.,37.574424,126.958529, 24.추천 주인직접.입주가능.주인거주 물건으로 관리잘 됨,"['10년이내', '역세권', '방세개']",101동,종로구 무악동
2438710622,경희궁롯데캐슬,아파트,매매,저/16,220000,0,22억,150,110.85,남향,24.08.07.,37.57368,126.959532,전세안고 세대분리형 탁트인뷰 독립문역 초역세권,"['10년이내', '역세권', '세대분리']",104동,종로구 무악동
2437561932,무악현대,아파트,매매,13/19,135000,0,"13억 5,000",109,84.92,남동향,24.07.31.,37.575516,126.960372,입주가능한집 올수리된 전망종은집입니다,"['25년이내', '올수리', '방세개', '화장실두개']",107동,종로구 무악동
2437639430,인왕산현대아이파크,아파트,매매,12/16,160000,0,16억,145,114.93,남서향,24.07.31.,37.577108,126.958086,"거실,방확장형 이며 뒷배경이 아름다운 동으로써 일조량 좋음 ","['25년이내', '역세권', '대형평수', '방네개이상']",106동,종로구 무악동
2438538393,경희궁롯데캐슬,아파트,매매,저/16,250000,0,25억,141,104.44,남향,24.08.06.,37.57368,126.959532,세안고  방4  구조좋은 남향집   탁트인뷰 독립문역 초역세권,"['10년이내', '역세권', '대형평수']",104동,종로구 무악동
2438542956,무악현대,아파트,매매,중/20,125000,0,"12억 5,000",109,84.92,남동향,24.08.06.,37.575472,126.961539,인기좋은 로얄동 탁트인뷰,"['25년이내', '역세권', '방세개', '화장실두개']",105동,종로구 무악동
2438564124,인왕산2차아이파크,아파트,매매,고/16,130000,0,13억,108,84.02,남향,24.08.06.,37.575939,126.959348,"인왕산 뷰 전망좋음, 시스템에어컨4대,전세안고매수가능","['10년이내', '역세권', '방세개', '화장실두개']",201동,종로구 무악동
2438542932,무악현대,아파트,매매,중/19,145000,0,"14억 5,000",141,114.9,남서향,24.08.06.,37.575474,126.960758,"입주가능, 일부 인테리어 된 집","['25년이내', '대형평수', '방네개이상', '화장실두개']",106동,종로구 무악동
2437340492,인왕산2차아이파크,아파트,매매,2/15,117000,0,"11억 7,000",108,84.24,남향,24.07.30.,37.575619,126.959862,필로티구조라 3층높이 애들키우기적합한집 채광좋음 초품아,"['10년이내', '역세권', '필로티']",202동,종로구 무악동
2437487006,인왕산2차아이파크,아파트,매매,5/15,120000,0,12억,108,84.06,남향,24.07.30.,37.575619,126.959862,"독립문 역세권,숲세권,풀옵션,시스템에어컨5대,확장형, 공기좋고  조용해요","['10년이내', '역세권', '방세개']",202동,종로구 무악동
2437312747,인왕산현대아이파크,아파트,매매,17/17,140000,0,14억,111,84.85,남서향,24.07.30.,37.57684,126.957297,,"['25년이내', '역세권', '탑층', '방세개']",112동,종로구 무악동
2437312329,인왕산현대아이파크,아파트,매매,2/17,155000,0,"15억 5,000",145,114.93,남서향,24.07.30.,37.576456,126.958661,올수리 되어있습니다.앞 숲이 있어서 좋습니다,"['25년이내', '올수리', '역세권', '대형평수']",114동,종로구 무악동
2438316805,무악현대,아파트,매매,고/19,143000,0,"14억 3,000",141,114.9,남서향,24.08.05.,37.575474,126.960758, 주인거주 매물입니다. 초역세권 로얄동 채광좋습니다,"['25년이내', '대형평수', '방네개이상', '화장실두개']",106동,종로구 무악동
2438227754,경희궁롯데캐슬,아파트,매매,고/16,175000,0,"17억 5,000",114,84.87,남서향,24.08.05.,37.573888,126.959085,"34독립문공원뷰,풀옵션,초역세권,갭투자","['10년이내', '역세권', '방세개']",103동,종로구 무악동
2438161590,인왕산현대아이파크,아파트,전세,고/17,75000,0,"7억 5,000",111,84.85,남서향,24.08.05.,37.57684,126.957297,로얄입구동 공원전망굿 거실 방 확장형 융자무 ,"['25년이내', '역세권', '방세개']",112동,종로구 무악동
2438992856,무악현대,아파트,매매,8/13,89000,0,"8억 9,000",84,60,남동향,24.08.08.,37.577034,126.96188,급매 세안고 매수 올수리된집 ,"['25년이내', '올수리', '급매', '방세개']",101동,종로구 무악동
2437211529,일반상가,상가,월세,1/2,3000,200,"3,000",44,44.5,남서향,24.07.29.,37.574907,126.958132,"독립문역 1분 유동 인구와 주거 인구 많은 최고의 상권, 지름길 입니다.","['25년이상', '역세권', '1층', '총2층']",,종로구 무악동
2438031379,인왕산현대아이파크,아파트,매매,고/17,142000,0,"14억 2,000",111,84.85,남향,24.08.03.,37.576657,126.957923,남향 독립문공원 안산  조망이 매우 아름다운 귀한  물건입니다.,"['25년이내', '역세권', '방세개', '화장실두개']",113동,종로구 무악동
